id,anio,seccion,concepto,valor_num,valor_raw,unidad,es_ratio
b31cf6a4-3692-4ed9-830b-293bc94f7be6,2023,Balance general,Resultado de Ej. Ant.,74549.0,74.549,millones COP,false
93e5e219-bb64-463d-9780-3ae00bd50e0a,2024,Balance general,Resultado de Ej. Ant.,81195.0,81.195,millones COP,false
e0336794-16df-4e37-9a74-806a4eee80d9,2019,Balance general,Superavit,11200.0,11.200,millones COP,false
20af43c9-372c-4fef-8830-92752a1e4542,2020,Balance general,Superavit,10093.0,10.093,millones COP,false
ba7da839-fc29-472c-8505-b2180be51f31,2021,Balance general,Superavit,11920.0,11.920,millones COP,false
1175a8b8-19bb-46cc-86cd-16c59dcbd09f,2022,Balance general,Superavit,21182.0,21.182,millones COP,false
76e434f3-d099-48c2-b7f8-aaac1575e7da,2023,Balance general,Superavit,11980.0,11.980,millones COP,false
dd140ee6-14fa-4c6b-a811-629d8e791213,2024,Balance general,Superavit,17841.0,17.841,millones COP,false
47e0b8a6-5225-4f42-82dc-ef10edeae0e1,2019,Balance general,Total patrimonio,360178.0,360.178,millones COP,false
ff575ce6-9b98-4b0f-b656-80cb2382ec03,2020,Balance general,Total patrimonio,315285.0,315.285,millones COP,false
b728fdf1-364a-43b5-9086-c3b88eb95533,2021,Balance general,Total patrimonio,304939.0,304.939,millones COP,false
0c5d99b4-3a86-4817-9619-56e63948e4e7,2022,Balance general,Total patrimonio,336364.0,336.364,millones COP,false
5a641fdc-2c57-4f6e-8da1-195f6e50c20c,2023,Balance general,Total patrimonio,355960.0,355.960,millones COP,false
7f83a96b-b694-4bed-a578-b02a8a28c550,2024,Balance general,Total patrimonio,384634.0,384.634,millones COP,false
abd75cc9-b355-4ff6-a23a-e19cb7a3d161,2019,Balance general,Check ecuación contable,0.0,0,millones COP,false
53b1421c-71d4-490e-a4c9-d32ecc2a1faf,2020,Balance general,Check ecuación contable,0.0,0,millones COP,false
58b9a15c-ed54-4b89-9b25-8752780463c7,2021,Balance general,Check ecuación contable,0.0,0,millones COP,false
425e9b94-865a-493a-b124-2787c47261b0,2022,Balance general,Check ecuación contable,0.0,0,millones COP,false
0e32768c-9bcd-4b66-8fba-a2405870dab3,2023,Balance general,Check ecuación contable,0.0,0,millones COP,false
40b710db-84ab-4a22-8423-34419c04dd18,2024,Balance general,Check ecuación contable,0.0,0,millones COP,false
79bb3cec-92cd-4ef4-b838-35d9e25af39e,2019,Capital de trabajo,Deuda/Capital de trabajo,-3.5,"-3,5",millones COP,true
b6b56fc1-3b45-49ab-9ba9-951eaff5101d,2020,Capital de trabajo,Deuda/Capital de trabajo,-14.1,"-14,1",millones COP,true
